Tunniste;lat;lon
1.2.246.10.10123709.10.1;61.15688;28.58476
1.2.246.10.10124592.10.0;60.27475;24.83841
1.2.246.10.10124592.10.1;60.27475;24.83841
1.2.246.10.10124592.10.2;60.27673;24.83837
1.2.246.10.10124592.10.3;60.25775;24.83052
1.2.246.10.10124592.10.4;60.29168;25.03026
1.2.246.10.10124592.10.5;60.28003;24.85535
1.2.246.10.1012601.10.0;60.2296;24.76224
1.2.246.10.1012601.10.1;60.1734174;24.7220171
1.2.246.10.1012601.10.2;60.2296;24.76224
1.2.246.10.1012601.10.3;60.2296;24.76224
1.2.246.10.1012601.10.4;60.1734174;24.7220171
1.2.246.10.1012601.10.5;60.2296;24.76224
1.2.246.10.1012636.10.1.0;60.2034;24.65875
1.2.246.10.1012636.10.1.1;60.2034;24.65875
1.2.246.10.1012636.10.1.1.100028;60.16139;24.69905
1.2.246.10.1012636.10.1.1.100029;60.20702;24.65484
1.2.246.10.1012636.10.1.1.100030;60.20702;24.65484
1.2.246.10.1012636.10.1.1.100031;60.20702;24.65484
1.2.246.10.1012636.10.1.1.100032;60.30607;24.73918
1.2.246.10.1012636.10.1.1.100033;60.20622;24.65284
1.2.246.10.1012636.10.1.1.100035;60.30607;24.73918
1.2.246.10.1012636.10.1.1.100038;60.20439;24.65911
1.2.246.10.1012636.10.1.1.100039;60.22038;24.82573
1.2.246.10.1012636.10.1.1.100053;60.22344;24.80533
1.2.246.10.1012636.10.1.1.100083;60.15273;24.75644
1.2.246.10.1012636.10.1.1.100085;60.16643;24.76613
1.2.246.10.1012636.10.1.1.100086;60.16225;24.7766
1.2.246.10.1012636.10.1.1.100087;60.16643;24.76613
1.2.246.10.1012636.10.1.1.100089;60.22324;24.80401
1.2.246.10.1012636.10.1.1.100104;60.16225;24.7766
1.2.246.10.1012636.10.1.1.100107;60.161;24.78291
1.2.246.10.1012636.10.1.1.100110;60.21269;24.65158
1.2.246.10.1012636.10.1.1.100117;60.16309;24.74965
1.2.246.10.1012636.10.1.1.100121;60.16225;24.7766
1.2.246.10.1012636.10.1.1.100125;60.17436;24.73837
1.2.246.10.1012636.10.1.1.100126;60.17946;24.73284
1.2.246.10.1012636.10.1.1.100127;60.17946;24.73284
1.2.246.10.1012636.10.1.1.100128;60.17946;24.73284
1.2.246.10.1012636.10.1.1.100134;60.165;24.6908
1.2.246.10.1012636.10.1.1.100136;60.15994;24.69605
1.2.246.10.1012636.10.1.1.100137;60.16247;24.69953
1.2.246.10.1012636.10.1.1.100148;60.14655;24.6655
1.2.246.10.1012636.10.1.1.100166;60.20442;24.656
1.2.246.10.1012636.10.1.1.100167;60.20442;24.656
1.2.246.10.1012636.10.1.1.100168;60.20856;24.65749
1.2.246.10.1012636.10.1.1.100169;60.2128;24.65465
1.2.246.10.1012636.10.1.1.100170;60.2128;24.65465
1.2.246.10.1012636.10.1.1.100175;52.21846;20.9983
1.2.246.10.1012636.10.1.1.100182;60.20561;24.65534
1.2.246.10.1012636.10.1.1.100185;60.20943;24.66425
1.2.246.10.1012636.10.1.1.100187;60.30607;24.73918
1.2.246.10.1012636.10.1.1.100188;60.30835;24.73229
1.2.246.10.1012636.10.1.1.100189;60.19918;24.65972
1.2.246.10.1012636.10.1.1.100191;60.21269;24.64091
1.2.246.10.1012636.10.1.1.100193;60.17643;24.60435
1.2.246.10.1012636.10.1.1.100194;60.2091401;24.6607472
1.2.246.10.1012636.10.1.1.100196;60.31043;24.7072
1.2.246.10.1012636.10.1.1.100197;60.2128;24.65465
1.2.246.10.1012636.10.1.1.100198;60.2075;24.65655
1.2.246.10.1012636.10.1.1.100199;60.2075;24.65655
1.2.246.10.1012636.10.1.1.100200;60.2128;24.65465
1.2.246.10.1012636.10.1.1.100201;60.20539;24.63257
1.2.246.10.1012636.10.1.1.100202;60.29801;24.73431
1.2.246.10.1012636.10.1.1.100205;60.2948;24.68522
1.2.246.10.1012636.10.1.1.100207;60.20259;24.65416
1.2.246.10.1012636.10.1.1.100208;60.29376;24.55798
1.2.246.10.1012636.10.1.1.100247;60.165;24.6908
1.2.246.10.1012636.10.1.1.100254;60.20999;24.65979
1.2.246.10.1012636.10.1.1.100255;60.20259;24.65416
1.2.246.10.1012636.10.1.1.100256;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100257;60.30607;24.73918
1.2.246.10.1012636.10.1.1.100258;60.20603;24.65309
1.2.246.10.1012636.10.1.1.100259;60.20259;24.65416
1.2.246.10.1012636.10.1.1.100260;60.20259;24.65416
1.2.246.10.1012636.10.1.1.100261;60.20259;24.65416
1.2.246.10.1012636.10.1.1.100262;60.20259;24.65416
1.2.246.10.1012636.10.1.1.100282;60.20259;24.65416
1.2.246.10.1012636.10.1.1.100283;60.15748;24.73143
1.2.246.10.1012636.10.1.1.100284;60.20561;24.65534
1.2.246.10.1012636.10.1.1.100297;60.16226;24.77661
1.2.246.10.1012636.10.1.1.100316;60.165;24.6908
1.2.246.10.1012636.10.1.1.100317;60.14933;24.66149
1.2.246.10.1012636.10.1.1.100324;60.20259;24.65416
1.2.246.10.1012636.10.1.1.100325;60.20259;24.65416
1.2.246.10.1012636.10.1.1.100326;60.20561;24.65534
1.2.246.10.1012636.10.1.1.100330;60.30607;24.73918
1.2.246.10.1012636.10.1.1.100332;60.20259;24.65416
1.2.246.10.1012636.10.1.1.100333;60.20259;24.65416
1.2.246.10.1012636.10.1.1.100336;52.21846;20.9983
1.2.246.10.1012636.10.1.1.100357;60.20259;24.65416
1.2.246.10.1012636.10.1.1.100358;60.17647;24.70496
1.2.246.10.1012636.10.1.1.100378;60.20561;24.65534
1.2.246.10.1012636.10.1.1.100379;60.20561;24.65534
1.2.246.10.1012636.10.1.1.100380;60.20561;24.65534
1.2.246.10.1012636.10.1.1.100383;60.20409;24.65482
1.2.246.10.1012636.10.1.1.100385;60.2222;24.68538
1.2.246.10.1012636.10.1.1.100386;60.16882;24.61511
1.2.246.10.1012636.10.1.1.100387;60.2206;24.68966
1.2.246.10.1012636.10.1.1.100388;60.1777;24.79704
1.2.246.10.1012636.10.1.1.100389;60.1777;24.79704
1.2.246.10.1012636.10.1.1.100399;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100401;60.16196;24.77578
1.2.246.10.1012636.10.1.1.100402;60.16196;24.77578
1.2.246.10.1012636.10.1.1.100403;60.16196;24.77578
1.2.246.10.1012636.10.1.1.100404;60.16196;24.77578
1.2.246.10.1012636.10.1.1.100405;60.16196;24.77578
1.2.246.10.1012636.10.1.1.100409;60.30521;24.73913
1.2.246.10.1012636.10.1.1.100410;60.30521;24.73913
1.2.246.10.1012636.10.1.1.100411;60.30521;24.73913
1.2.246.10.1012636.10.1.1.100423;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100424;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100425;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100426;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100427;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100428;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100429;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100430;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100431;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100432;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100433;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100434;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100435;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100436;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100437;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100438;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100439;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100440;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100441;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100442;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100443;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100444;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100445;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100446;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100447;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100448;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100449;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100450;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100451;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100452;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100453;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100454;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100455;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100458;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100459;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100461;60.20351;24.65394
1.2.246.10.1012636.10.1.1.100491;60.16247;24.69953
1.2.246.10.1012636.10.1.1.100492;60.16247;24.69953
1.2.246.10.1012636.10.1.1.100494;60.20421;24.65699
1.2.246.10.1012636.10.1.1.100498;60.20442;24.656
1.2.246.10.1012636.10.1.1.100499;60.22499;24.72278
1.2.246.10.1012636.10.1.1.100500;60.22499;24.72278
1.2.246.10.1012636.10.1.1.100502;60.14024;24.67131
1.2.246.10.1012636.10.1.1.100503;60.19171;24.59761
1.2.246.10.1012636.10.1.1.100504;52.21846;20.9983
1.2.246.10.1012636.10.1.1.100505;60.16016;24.74862
1.2.246.10.1012636.10.1.1.100513;60.20623;24.65492
1.2.246.10.1012636.10.1.1.100516;60.17647;24.70496
1.2.246.10.1012636.10.1.1.100517;60.22499;24.72278
1.2.246.10.1012636.10.1.1.100518;60.19935;24.75346
1.2.246.10.1012636.10.1.1.100519;60.19935;24.75346
